Departamento,Desembolsos totales,Desembolsos parciales,Total De Proyectos ,Costo del Proyecto Bs.,Importe Desembolsado,"Saldo sin desembolsar
"
BEN,9,119,128,109792398,66791245,43001153
CHU,5,26,31,23685166,18842856,4842310
CBBA,11,68,79,80499.773,51623199,28876574
LPZ,100,443,543,496237714,352810695,143427019
NAC,18,15,33,99525215,50600109,48925106
ORU,22,49,71,85288315,56400331,28887984
PAN,1,13,14,11603094,6924488,4678606
POT,10,42,52,48930058,36282766,12647292
SCZ,9,78,87,75870036,47598902,28271134
TAR,7,54,61,56408814,39491948,16916866
BIDEP,0,1,1,4467436,1765598,2701838
